iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
KHM,2010,124772,77874531
KNA,2010,6,3245
LAO,2010,49980,29579678
LBR,2010,4633,2370223
LCA,2010,9,5151
LKA,2010,354,134210
MAF,2010,0,166
MDG,2010,23825,13065736
MDV,2010,1,65
MEX,2010,27933,12553822
MMR,2010,40067,24692124
MOZ,2010,658,295774
MSR,2010,21,11157
MTQ,2010,6,3829
MWI,2010,5,2578
MYS,2010,139647,122017115
NGA,2010,6781,2636584
NIC,2010,30518,17687999
NPL,2010,142,85405
PAN,2010,2965,1847215
PER,2010,100970,67793664
PHL,2010,8880,6047345
PLW,2010,11,8985
PNG,2010,32760,27709835
PRI,2010,28,16166
PRY,2010,72835,25024380
RWA,2010,24,15959
SEN,2010,0,129
SLB,2010,3225,2581829
SLE,2010,301,145263
SLV,2010,64,37327
SSD,2010,78,49133
SUR,2010,4797,3860082
SXM,2010,0,36
TCA,2010,7,1295
TGO,2010,0,81
THA,2010,12206,7494868
TTO,2010,358,199951
TWN,2010,581,364647
TZA,2010,1086,569373
UGA,2010,4757,2629257
USA,2010,29,13265
VCT,2010,4,2074
VEN,2010,25809,15166835
VGB,2010,2,1001
VIR,2010,0,162
VNM,2010,64629,43871495
VUT,2010,129,73904
ZAF,2010,273,164215
ZMB,2010,2850,1385258
ZWE,2010,4,2354
AGO,2011,4259,2388539
ARG,2011,17366,6156622
AUS,2011,0,12
BDI,2011,7,4189
BEN,2011,0,38
BES,2011,5,0
BGD,2011,263,143810
BHS,2011,2,643
BLZ,2011,16295,7797500
BOL,2011,162625,84587527
BRA,2011,803049,509213024
BRN,2011,1662,1372926
BTN,2011,379,223646
CAF,2011,9501,6184084
CHN,2011,5029,2840590
CIV,2011,29740,13273644
CMR,2011,13506,8195119
COD,2011,148639,100655655
COG,2011,13755,8839146
COL,2011,72601,45143466
CRI,2011,998,590206
CUB,2011,311,78447
CYM,2011,3,1100
DMA,2011,13,7646
DOM,2011,582,265698
ECU,2011,11175,8376954
ETH,2011,2652,1696336
FJI,2011,55,32041
GAB,2011,8689,5408516
GHA,2011,2772,1227906
GIN,2011,400,212362
GLP,2011,3,1921
GNB,2011,149,44520
GNQ,2011,3710,2355283
GTM,2011,17213,8850382
GUF,2011,2153,1695327
GUY,2011,5831,4110030
HND,2011,20323,11380713
HTI,2011,28,13759
IDN,2011,613906,638805410
IND,2011,16287,8866446
JAM,2011,321,180483
KEN,2011,1410,799640
KHM,2011,124149,84768058
KNA,2011,3,1534
LAO,2011,43373,25571497
LBR,2011,5797,2879231
LCA,2011,17,10268
LKA,2011,491,190812
MAF,2011,6,2369
MDG,2011,54167,29512011
MDV,2011,3,98
MEX,2011,29571,12934078
MMR,2011,25248,16140812
MOZ,2011,126,58925
MSR,2011,2,935
MTQ,2011,11,6237
MWI,2011,3,1240
MYS,2011,161191,145233920
NGA,2011,7403,2906400
NIC,2011,14501,8468152
NPL,2011,104,66263
PAN,2011,4757,2907454
PER,2011,88886,59631953
PHL,2011,4919,3424590
PLW,2011,14,11925
PNG,2011,26450,22798801
PRI,2011,38,21878
PRY,2011,64119,24216128
RWA,2011,7,4457
SEN,2011,1,408
SLB,2011,3095,2465417
SLE,2011,601,284397
SLV,2011,71,43268
SSD,2011,147,88329
SUR,2011,4125,3348730
SXM,2011,1,513
TCA,2011,1,131
TGO,2011,1,170
THA,2011,8567,5275820
TTO,2011,66,39241
TWN,2011,240,149925
TZA,2011,803,395648
UGA,2011,7940,4447456
USA,2011,43,18750
VCT,2011,4,2009
VEN,2011,15590,8899285
VGB,2011,6,2819
VIR,2011,1,355
VNM,2011,45403,34462567
VUT,2011,367,210838
ZAF,2011,349,237450
ZMB,2011,177,84176
ZWE,2011,4,2142
AGO,2012,5595,3218378
ARG,2012,24810,8157529
AUS,2012,1,611
BDI,2012,5,2685
BEN,2012,0,99
BES,2012,0,32
BGD,2012,327,192855
BHS,2012,8,1855
BLZ,2012,6762,3065948
BOL,2012,148294,76263489
BRA,2012,1116088,716700087
BRN,2012,1119,860236
BTN,2012,315,200872
CAF,2012,10780,6814954
CHN,2012,7911,4535324
CIV,2012,23086,10728688
CMR,2012,25417,15770704
COD,2012,211234,144923369
COG,2012,14806,9419815
COL,2012,69587,43768303
CRI,2012,754,450174
CUB,2012,244,101035
CYM,2012,2,572
DMA,2012,40,23576
DOM,2012,1569,686454
ECU,2012,16354,11524370
ETH,2012,5077,3169382
FJI,2012,73,40642
GAB,2012,9508,5927698
GHA,2012,2501,1133363
GIN,2012,589,315886
GLP,2012,12,6489
GNB,2012,110,32515
GNQ,2012,2292,1456169
GTM,2012,27789,13970841
GUF,2012,7426,5829937
GUY,2012,8942,6262618
HND,2012,10008,5443911
HTI,2012,48,24323
IDN,2012,855534,829501665
IND,2012,18804,10278290
JAM,2012,473,269555
KEN,2012,1664,951737
KHM,2012,115205,78256422
KNA,2012,4,2010
